"rnrid"	"requisitionid"
"productcode"	"orderableid"
"quantityreceived"	"totalreceivedquantity"
"quantitydispensed"	"totalconsumedquantity"
"stockinhand"	"stockonhand"
"quantityrequested"	"requestedquantity"
"reasonforrequestedquantity"	"requestedquantityexplanation"
"quantityapproved"	"approvedquantity"
"newpatientcount"	"numberofnewpatientsadded"
"stockoutdays"	"totalstockoutdays"
"normalizedconsumption"	"adjustedconsumption"
"amc"	"averageconsumption"
"maxmonthsofstock"	"maxperiodsofstock"
"maxstockquantity"	"maximumstockquantity"
"price"	"priceperpack"
"fullsupply"	"nonfullsupply"
